playerID,Years_Batted,totGB,totRB,totHB,tot2B,tot3B,totHRB,totSOB,Years_Pitched,totGP,totRP,totHP,totW,totL,totHRP,totSOP,totIPOuts,totER,totBB,Years_Fielded,totGF,totA,totPO,totE,totDP,totPB,totCS,totInnOuts,totSB,debut,finalGame,deathYear,inducted
grissma01,10,357,9,23,7,0,0,68,10,357,358,772,48,45,65,461,2438,307,346,10,357,139,28,5,9,0,0,1332,0,1946-09-10,1959-06-11,2005,0
whitede03,17,1990,1152,1990,390,75,211,1574,0,0,0,0,0,0,0,0,0,0,0,17,1916,96,4864,72,24,0,0,48422,0,1985-09-02,2001-10-05,,0
gossari01,22,1022,1,9,1,0,0,38,22,1021,680,1518,126,108,122,1531,5522,615,739,22,1021,182,78,21,11,0,0,5522,0,1972-04-16,1994-08-08,,1
mcmanma01,15,1831,1008,1926,401,88,120,558,0,0,0,0,0,0,0,0,0,0,0,15,1801,4512,4100,315,774,0,0,0,0,1920-09-25,1934-09-30,1966,0
bentola01,13,462,54,122,12,2,2,181,13,455,1190,2559,127,128,109,670,6891,1029,691,13,455,469,93,22,33,0,0,0,0,1923-04-19,1935-08-16,1953,0
darkal01,14,1844,1073,2110,362,72,127,540,1,1,2,1,0,0,1,0,3,2,1,14,1828,4893,3198,346,1018,0,0,23738,0,1946-07-14,1960-10-02,2014,0
linzyfr01,11,516,5,18,0,1,1,42,11,516,315,790,62,57,35,358,2450,259,282,11,516,236,51,9,17,0,0,2452,0,1963-08-14,1974-09-02,,0
harpeto01,15,1811,972,1609,256,36,146,1080,0,0,0,0,0,0,0,0,0,0,0,15,1618,787,2823,100,121,0,0,38696,0,1962-04-09,1976-09-29,,0
rudijo01,16,1585,692,1504,293,40,182,890,0,0,0,0,0,0,0,0,0,0,0,16,1485,163,4287,41,182,0,0,36760,0,1967-04-11,1982-10-03,,0
camermi01,17,1982,1078,1716,389,59,279,1930,0,0,0,0,0,0,0,0,0,0,0,17,1948,77,5017,71,21,0,0,49263,0,1995-08-27,2011-09-12,,0
drewj.01,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,NULL,0,0,0,0,0,0,0
ennisde01,14,1907,986,2065,359,69,288,720,0,0,0,0,0,0,0,0,0,0,0,14,1845,150,3638,121,27,0,0,17547,0,1946-04-28,1959-06-14,1996,0
downial01,17,415,36,91,12,3,2,296,17,411,952,1967,123,110,180,1653,6866,822,941,17,411,373,72,19,23,0,0,6869,1,1961-07-19,1977-07-13,,0
hislela01,14,1197,652,1146,193,32,166,941,0,0,0,0,0,0,0,0,0,0,0,11,1017,70,2213,52,8,0,0,25818,0,1968-04-10,1982-05-06,,0
mcraeha01,19,2132,954,2133,498,67,192,802,0,0,0,0,0,0,0,0,0,0,0,13,526,87,902,41,18,0,0,12065,0,1968-07-11,1987-07-17,,0
puhlte01,15,1544,682,1377,229,56,62,510,0,0,0,0,0,0,0,0,0,0,0,15,1314,58,2605,18,19,0,0,32289,0,1977-07-12,1991-05-29,,0
martiti02,16,2122,1052,2008,380,21,348,1141,0,0,0,0,0,0,0,0,0,0,0,16,1967,1226,15803,84,1471,0,0,49524,0,1990-08-20,2005-10-02,,0
hamptmi01,16,459,98,183,22,5,16,203,16,430,1184,2418,150,119,208,1440,7000,1051,933,16,430,483,152,27,43,0,0,7000,0,1993-04-17,2010-10-03,,0
thompsa01,15,1422,1264,2000,342,160,129,229,0,0,0,0,0,0,0,0,0,0,0,15,1408,283,2174,172,61,0,0,0,0,1885-07-02,1906-09-10,1922,1
jossad01,9,296,46,118,21,6,1,0,9,286,729,1888,160,97,19,920,6981,488,364,9,295,848,185,36,24,0,0,0,0,1902-04-26,1910-07-11,1911,1
dawsoan01,21,2642,1376,2785,504,99,438,1525,0,0,0,0,0,0,0,0,0,0,0,20,2338,158,5186,94,30,0,0,60551,0,1976-09-11,1996-09-29,,1
mcaleji01,13,1026,619,1011,114,39,12,292,1,1,3,2,0,0,0,0,1,0,3,12,1019,155,2468,155,36,0,0,0,0,1889-04-24,1907-07-08,1931,0
adamssp01,13,1432,844,1592,249,48,9,228,0,0,0,0,0,0,0,0,0,0,0,13,1392,3756,2291,230,598,0,0,159,0,1922-09-18,1934-09-30,1989,0
boyerke01,15,2041,1109,2149,319,68,284,1022,0,0,0,0,0,0,0,0,0,0,0,15,1999,3753,2385,275,417,0,0,50900,0,1955-04-12,1969-08-09,1982,0
pappami01,17,528,72,132,13,3,20,511,17,521,1334,3050,209,164,299,1732,9565,1206,858,17,522,486,245,23,38,0,0,9565,1,1957-08-10,1973-09-18,2016,0
francju02,6,405,110,235,50,4,48,375,0,0,0,0,0,0,0,0,0,0,0,6,284,303,761,38,103,0,0,6158,0,2009-09-14,2014-09-28,,0
ramirma02,19,2413,1611,2691,566,20,584,1904,0,0,0,0,0,0,0,0,0,0,0,18,2050,136,3387,81,19,0,0,51946,0,1993-09-02,2011-04-06,,0
griffcl01,21,485,202,321,49,17,8,46,20,453,1852,3670,237,146,76,955,10157,1246,774,20,478,879,201,78,23,0,0,0,0,1891-04-11,1914-10-07,1955,1
myerbu01,17,1931,1176,2139,354,130,38,433,0,0,0,0,0,0,0,0,0,0,0,17,1818,5165,4240,315,1137,0,0,201,0,1925-09-26,1941-09-24,1974,0
mcmilro01,16,2093,739,1639,253,35,68,711,0,0,0,0,0,0,0,0,0,0,0,16,2051,6233,3722,292,1311,0,0,41685,0,1951-04-17,1966-08-03,1997,0
bolinbo01,13,498,39,69,9,1,6,166,13,497,689,1368,88,75,164,1177,4736,598,599,13,497,190,87,15,6,0,0,4736,0,1961-04-18,1973-09-30,,0
raderdo02,11,1465,631,1302,245,39,155,1055,0,0,0,0,0,0,0,0,0,0,0,11,1405,2913,1526,201,290,0,0,36794,0,1967-07-31,1977-10-02,,0
jacksda02,15,366,28,55,12,2,0,232,15,364,1083,2169,116,134,135,1262,6390,944,839,15,364,293,106,32,17,0,0,6390,0,1983-09-11,1997-08-07,,0
lankfra01,14,1715,973,1568,358,54,238,1564,0,0,0,0,0,0,0,0,0,0,0,14,1598,72,3561,63,11,0,0,39552,0,1990-08-21,2004-10-03,,0
loftoke01,17,2198,1593,2525,395,120,137,1084,0,0,0,0,0,0,0,0,0,0,0,17,2133,150,5070,86,37,0,0,53966,0,1991-09-14,2007-09-29,,0
radboch01,12,656,309,586,64,11,9,247,11,531,2278,4346,312,195,117,1847,13672,1348,875,12,678,1047,443,170,59,0,0,0,0,1880-05-05,1891-08-11,1897,1
nichoki01,15,651,274,473,58,24,16,212,15,622,2480,4929,363,208,156,1881,15223,1662,1272,15,646,1034,382,79,37,0,0,0,0,1890-04-23,1906-05-18,1953,1
sandbry01,16,2174,1327,2401,408,77,283,1266,0,0,0,0,0,0,0,0,0,0,0,16,2145,6677,3913,121,1184,0,0,55522,0,1981-09-02,1997-09-28,,1
johnsra05,22,638,22,80,15,0,1,309,22,637,1754,3452,310,175,426,5007,12769,1560,1529,22,638,460,92,57,18,0,0,12772,0,1988-09-15,2009-10-04,,1
ehmkeho01,15,431,71,211,38,6,0,111,15,429,1428,2887,167,166,103,1043,8500,1176,1045,15,429,857,143,44,35,0,2,38,0,1915-04-12,1930-05-22,1959,0
moonwa01,12,1465,740,1405,212,60,143,593,0,0,0,0,0,0,0,0,0,0,0,12,1285,175,3143,68,133,0,0,32812,0,1954-04-13,1965-09-12,,0
floodcu01,15,1780,862,1880,273,45,85,615,0,0,0,0,0,0,0,0,0,0,0,14,1724,114,4063,54,28,0,0,43047,0,1956-09-09,1971-04-25,1997,0
mcdowsa01,15,429,34,119,7,2,2,306,15,425,999,1948,141,134,164,2453,7477,879,1312,15,427,328,80,33,23,0,0,7480,0,1961-09-15,1975-06-24,,0
helmsto01,14,1443,415,1349,223,21,34,303,0,0,0,0,0,0,0,0,0,0,0,13,1354,3649,2930,130,862,0,0,34032,0,1964-09-23,1977-10-01,,0
parrila02,19,1996,860,1790,307,27,326,1532,0,0,0,0,0,0,0,0,0,0,0,19,1862,991,9891,99,157,192,655,46498,1043,1977-09-05,1995-09-23,,0
thompro01,11,1320,680,1195,238,40,122,1000,0,0,0,0,0,0,0,0,0,0,0,11,1295,3747,2636,111,885,0,0,32524,0,1986-04-08,1996-09-22,,0
drabedo01,13,419,42,121,18,3,2,215,13,405,1157,2488,157,139,247,1627,7750,1063,718,13,405,348,270,30,20,0,0,7750,0,1986-05-30,1998-09-25,,0
surhobj01,19,2340,1068,2350,444,42,192,847,0,0,0,0,0,0,0,0,0,0,0,19,2195,990,6708,110,234,56,199,53340,457,1987-04-08,2005-10-02,,0
